name_a,type_a,name_b,type_b,similarity,decision,confidence,reason
駭客入侵,attack,入侵攻擊,attack,0.8964,same,0.9,兩節點名稱語意等價，均指入侵攻擊的行為
勒索病毒,attack,wannacry勒索病毒,attack,0.8971,different,0.8,節點 A 是一般的勒索病毒，節點 B 是特定的 WannaCry勒索病毒
冒名郵件,attack,詐騙郵件,attack,0.8966,same,0.9,冒名郵件和詐騙郵件都是指以假冒身份或欺騙手法進行的郵件攻擊，語意上相當接近
dos/ddos 攻擊,attack,ddos攻擊,attack,0.8952,same,0.9,節點 A 和節點 B 都指稱分布式拒絕服務攻擊
病毒攻擊,attack,網頁攻擊,attack,0.8951,different,0.8,兩節點名稱雖相關但指稱不同攻擊行為
物聯網安全威脅,attack,資安威脅,attack,0.8947,different,0.8,兩節點雖相關但指稱不同概念，物聯網安全威脅是資安威脅的一個子集
實體安全威脅,attack,資安威脅,attack,0.8955,different,0.8,實體安全威脅和資安威脅雖相關但指稱不同概念
dos攻擊,attack,ddos攻擊,attack,0.8932,different,0.8,dos攻擊和ddos攻擊是相關但不同的攻擊行為
tcp/ip 連線劫持,attack,連線劫持,attack,0.8939,same,0.9,節點 A 和節點 B 的名稱語意相近，tcp/ip 連線劫持是一種連線劫持的具體形式
外部入侵,attack,入侵,attack,0.8951,same,0.8,節點 A 和節點 B 的名稱語意相近，均指涉入侵行為
網路威脅,attack,資安威脅,attack,0.8931,different,0.8,網路威脅和資安威脅相關但指稱不同概念
跨網站腳本攻擊,attack,網頁攻擊,attack,0.8958,different,0.8,跨網站腳本攻擊是一種特定類型的網頁攻擊，但不是所有網頁攻擊都是跨網站腳本攻擊
密碼驗證攻擊,attack,隱碼攻擊,attack,0.893,different,0.8,密碼驗證攻擊和隱碼攻擊是兩種不同的攻擊行為
搜尋引擎攻擊,attack,物聯網攻擊,attack,0.8925,different,0.8,兩節點名稱雖相關但指稱不同攻擊行為
入侵行為,attack,入侵,attack,0.8931,same,0.9,入侵行為和入侵是同義詞
入侵企圖,attack,入侵,attack,0.892,same,0.9,入侵企圖和入侵是同義詞，均指嘗試非法闖入系統或網絡
阻絕服務攻擊,attack,分散式阻斷服務攻擊,attack,0.905,different,0.8,節點 A 和節點 B 雖然都是攻擊行為，但分散式阻斷服務攻擊是阻絕服務攻擊的一種特定形式
密碼破解攻擊,attack,金鑰竊取攻擊,attack,0.8921,different,0.8,密碼破解攻擊和金鑰竊取攻擊是兩種不同的攻擊行為
network attack,attack,密碼攻擊,attack,0.8914,different,0.8,network attack 和 密碼攻擊 是相關但不同的攻擊行為或攻擊手法
勒索軟體攻擊,attack,勒索軟體,attack,0.8913,different,0.8,節點 A 指的是勒索軟體的攻擊行為，節點 B 指的是勒索軟體本身
網路釣魚攻擊,attack,網路攻擊,attack,0.8914,different,0.8,節點 A 指的是特定類型的網路攻擊，節點 B 則是更廣泛的網路攻擊概念
密碼攻擊,attack,金鑰竊取攻擊,attack,0.8904,different,0.8,密碼攻擊和金鑰竊取攻擊是兩種不同的攻擊行為
入侵攻擊,attack,物聯網攻擊,attack,0.8902,different,0.8,入侵攻擊和物聯網攻擊是兩種不同類型的攻擊行為
重送攻擊,attack,重播攻擊,attack,0.8894,same,0.9,重送攻擊和重播攻擊是同義詞
網路攻擊,attack,dns攻擊,attack,0.8891,different,0.8,網路攻擊和dns攻擊是相關但不同概念
資訊安全威脅,attack,實體安全威脅,attack,0.888,different,0.8,資訊安全威脅和實體安全威脅是兩個不同的安全威脅類型
ddos攻擊,attack,dns攻擊,attack,0.8876,different,0.9,ddos攻擊和dns攻擊是兩種不同的攻擊行為
詐騙郵件,attack,欺騙電子郵件,attack,0.891,same,0.9,詐騙郵件和欺騙電子郵件是同義詞
資安威脅,attack,威脅,attack,0.8983,same,0.8,兩節點名稱語意相近，資安威脅是威脅的一種特定類型
攻擊行為,attack,惡意攻擊,attack,0.8864,same,0.8,攻擊行為和惡意攻擊在語意上相近，惡意攻擊是攻擊行為的一種特定類型
網路威脅,attack,威脅,attack,0.8872,different,0.8,節點 A 指的是網路威脅，節點 B 指的是一般威脅，兩者相關但指稱不同概念
network attack,attack,網頁攻擊,attack,0.8897,different,0.8,節點 A 指網路攻擊，節點 B 指網頁攻擊，兩者相關但指稱不同概念
實體攻擊,attack,破解實體安全攻擊,attack,0.8928,different,0.8,節點 A 指實體攻擊，節點 B 指破解實體安全攻擊，雖相關但指稱不同概念
散布電腦病毒,attack,電腦病毒,attack,0.8881,different,0.8,節點 A 指的是散布電腦病毒的攻擊行為，節點 B 指的是電腦病毒本身
釣魚攻擊,attack,網路釣魚攻擊,attack,0.8852,same,0.9,節點 A 和節點 B 的名稱語意相近，均指涉釣魚攻擊的概念
憑證填充攻擊,attack,密碼驗證攻擊,attack,0.8852,different,0.8,憑證填充攻擊和密碼驗證攻擊是兩種不同的攻擊手法
密碼破解攻擊,attack,資料隱碼攻擊,attack,0.8853,different,0.8,密碼破解攻擊和資料隱碼攻擊是兩種不同的攻擊行為
犯罪,attack,網路犯罪,attack,0.8856,different,0.8,節點 A 和節點 B 雖然都屬於攻擊行為，但指稱不同概念，犯罪涵蓋更廣泛的範圍，而網路犯罪則是特指在網路上進行的犯罪
潛在威脅,attack,資安威脅,attack,0.8861,different,0.8,節點 A 和節點 B 雖然都與攻擊行為或攻擊手法相關，但指稱的概念不同，潛在威脅更為廣泛，資安威脅則是特指資訊安全領域的威脅
xss 攻擊,attack,跨站腳本攻擊 (xss),attack,0.8842,same,1.0,兩節點名稱語意等價，都是指跨站腳本攻擊
xml外部實體攻擊 (xxe),attack,xml外部實體攻擊,attack,0.884,same,1.0,節點 A 和節點 B 的名稱語意等價
資料篡改攻擊,attack,竄改攻擊,attack,0.8838,same,0.9,資料篡改攻擊和竄改攻擊是同義詞
企業機密外洩,attack,隱私外洩,attack,0.8838,different,0.8,企業機密外洩和隱私外洩是相關但不同的攻擊行為或攻擊手法
病毒攻擊,attack,入侵攻擊,attack,0.8829,different,0.8,雖然兩個節點都屬於攻擊行為，但病毒攻擊和入侵攻擊指稱不同的攻擊手法
搜尋引擎攻擊,attack,搜尋引擎攻擊 (google-hacking),attack,0.8822,same,0.9,兩節點名稱語意等價，都是描述搜尋引擎攻擊的行為
攻擊破解,attack,隱碼攻擊,attack,0.8827,different,0.8,攻擊破解和隱碼攻擊是兩種不同的攻擊手法
各種攻擊,attack,攻擊手段,attack,0.8819,same,0.8,兩節點名稱語意相近，均指涉攻擊行為或手法
資料竄改,attack,竄改,attack,0.8816,same,0.9,資料竄改和竄改是同義詞，均指資料被非法修改的攻擊行為
電腦系統入侵事件,attack,電腦安全事件,attack,0.8802,different,0.8,電腦系統入侵事件和電腦安全事件相關但指稱不同概念
犯罪,attack,經濟犯罪,attack,0.8808,different,0.8,節點 A 和節點 B 雖然都屬於攻擊行為或攻擊手法，但犯罪和經濟犯罪指稱不同概念
攻擊破解,attack,破解實體安全攻擊,attack,0.8836,different,0.8,兩節點雖相關但指稱不同概念，攻擊破解和破解實體安全攻擊的對象和內容不同
病毒攻擊,attack,network attack,attack,0.88,different,0.8,節點 A 指的是病毒攻擊，節點 B 指的是網路攻擊，雖相關但指稱不同概念
阻絕服務攻擊,attack,阻絕服務攻擊 (dos),attack,0.8793,same,1.0,兩節點名稱語意等價
暴力密碼攻擊,attack,資料隱碼攻擊,attack,0.8794,different,0.8,兩節點名稱語意不同，指稱不同攻擊行為
network attack,attack,入侵攻擊,attack,0.8796,same,0.8,network attack 和 入侵攻擊 都指涉及網路的攻擊行為
阻絕服務攻擊,attack,阻斷服務攻擊 (dos),attack,0.8781,same,0.9,兩節點名稱語意等價，都是描述阻絕或阻斷服務攻擊的行為
tcp syn 洪水攻擊,attack,syn 洪水攻擊,attack,0.8848,same,0.9,tcp syn 洪水攻擊和syn 洪水攻擊是同一種攻擊行為的不同表達形式
入侵攻擊,attack,入侵,attack,0.879,same,0.9,入侵攻擊和入侵是同義詞
惡意軟體攻擊,attack,應用程式攻擊,attack,0.8771,different,0.8,惡意軟體攻擊和應用程式攻擊是相關但不同的攻擊行為
病毒程式,attack,電腦病毒,attack,0.8858,same,0.9,節點 A 和節點 B 都指稱電腦系統中的一種攻擊行為或攻擊手法，病毒程式和電腦病毒是同義詞
資安威脅,attack,入侵威脅,attack,0.8778,different,0.8,資安威脅和入侵威脅雖相關但指稱不同概念
電腦蠕蟲,attack,蠕蟲,attack,0.8772,same,0.9,電腦蠕蟲和蠕蟲在攻擊行為或攻擊手法的本體論類別下是同義詞
其他攻擊方式,attack,攻擊方法,attack,0.8767,same,0.9,節點 A 和節點 B 的名稱語意相近，均指涉攻擊行為或手法的類別
外部人員威脅,attack,內部非授權人員威脅,attack,0.876,different,0.8,節點 A 和節點 B 分別指稱外部和內部的非授權人員威脅，雖相關但概念不同
阻斷服務攻擊 (dos),attack,阻斷服務攻擊,attack,0.8767,same,1.0,兩節點名稱語意等價
惡意入侵事件,attack,惡意事件,attack,0.8757,different,0.8,雖然兩節點相關，但惡意入侵事件是指特定類型的攻擊行為，而惡意事件涵蓋更廣泛的攻擊行為或事件
udp 封包攻擊,attack,http 封包攻擊,attack,0.8747,different,0.8,udp 封包攻擊和 http 封包攻擊是兩種不同類型的網路攻擊
物聯網惡意程式,attack,惡意程式,attack,0.8745,different,0.8,節點 A 指的是物聯網特定領域的惡意程式，節點 B 則是更廣泛的惡意程式概念
惡意攻擊,attack,暴力攻擊,attack,0.8761,different,0.8,惡意攻擊和暴力攻擊雖相關但指稱不同概念
實體安全威脅,attack,物聯網安全威脅,attack,0.8745,different,0.8,節點 A 和節點 B 雖然都屬於攻擊行為或攻擊手法，但指稱不同的安全威脅類型
阻斷服務攻擊,attack,攔截攻擊,attack,0.8742,different,0.8,兩節點名稱雖相關但指稱不同概念，阻斷服務攻擊和攔截攻擊是不同類型的攻擊行為
網路釣魚攻擊,attack,物聯網攻擊,attack,0.8743,different,0.8,網路釣魚攻擊和物聯網攻擊是兩種不同的攻擊行為
監聽攻擊,attack,竊聽攻擊,attack,0.8737,same,0.9,監聽攻擊和竊聽攻擊是同義詞
網路安全威脅,attack,實體安全威脅,attack,0.8748,different,0.8,網路安全威脅和實體安全威脅雖相關但指稱不同概念
詐騙,attack,社交工程詐騙,attack,0.8768,different,0.8,詐騙和社交工程詐騙相關但指稱不同概念
密碼破解攻擊,attack,跨站指令碼攻擊,attack,0.8722,different,0.9,兩節點名稱語意不同，指稱不同的攻擊行為
tcp syn 洪水攻擊,attack,syn洪水攻擊,attack,0.8741,same,0.9,tcp syn 洪水攻擊和 syn 洪水攻擊是同一種攻擊行為的不同表達方式
入侵企圖,attack,入侵行為,attack,0.8721,same,0.9,入侵企圖和入侵行為在攻擊行為或攻擊手法的本體論類別中為同義詞
數位攻擊,attack,資料干擾攻擊,attack,0.8733,different,0.8,數位攻擊和資料干擾攻擊是相關但不同的攻擊行為
http 封包攻擊,attack,網路攻擊封包,attack,0.8724,same,0.9,節點 A 和節點 B 的名稱語意相近，均指涉及網路封包的攻擊行為
加密劫持,attack,加密貨幣劫持,attack,0.8841,different,0.8,節點 A 和節點 B 的名稱雖然相似，但指稱的概念不同，節點 A 的加密劫持是一種攻擊手法，節點 B 的加密貨幣劫持則是針對加密貨幣的特定攻擊行為
藍牙入侵攻擊,attack,入侵攻擊,attack,0.8718,different,0.8,節點 A 指的是藍牙入侵攻擊，節點 B 指的是入侵攻擊，兩者雖相關但指稱不同概念
dos攻擊,attack,入侵攻擊,attack,0.8716,different,0.8,dos攻擊和入侵攻擊是兩種不同類型的攻擊行為
密碼破解攻擊,attack,network attack,attack,0.8711,different,0.8,密碼破解攻擊是特定類型的攻擊，network attack則涵蓋更廣泛的攻擊行為
搜尋引擎攻擊,attack,network attack,attack,0.8709,different,0.8,搜尋引擎攻擊和網路攻擊是相關但不同的攻擊行為
電腦系統入侵事件,attack,入侵事件,attack,0.8708,same,0.9,兩節點名稱語意相近，均指涉入侵事件
資安事故,attack,資訊安全事故,attack,0.8704,same,0.9,兩節點名稱語意等價，都是指資安相關的事件
注入攻擊,attack,漏洞利用攻擊,attack,0.8702,different,0.8,注入攻擊和漏洞利用攻擊是兩種不同的攻擊手法
潛在威脅,attack,入侵威脅,attack,0.8721,different,0.8,兩節點雖相關但指稱不同概念，潛在威脅較為廣泛，入侵威脅則是特定類型的攻擊行為
惡意軟體之攻擊,attack,應用程式攻擊,attack,0.8701,different,0.8,節點A指惡意軟體的攻擊，節點B指應用程式攻擊，雖相關但指稱不同概念
物聯網攻擊,attack,dns攻擊,attack,0.8778,different,0.8,兩節點雖相關但指稱不同概念，物聯網攻擊是一個更廣泛的概念，dns攻擊是其中的一種特定攻擊手法
病毒攻擊,attack,ddos攻擊,attack,0.8701,different,0.8,兩節點名稱雖相關但指稱不同攻擊行為
病毒攻擊,attack,dns攻擊,attack,0.8697,different,0.8,兩節點名稱雖相關但指稱不同攻擊行為
偽裝攻擊,attack,跨站請求偽造攻擊,attack,0.8695,different,0.8,節點 A 和節點 B 雖然都涉及偽裝攻擊，但跨站請求偽造攻擊是偽裝攻擊的一種特定形式
外部人員威脅,attack,內部授權人員威脅,attack,0.869,different,0.9,節點 A 和節點 B 分別指稱外部和內部的威脅來源，代表不同的攻擊行為或攻擊手法
隱碼攻擊,attack,漏洞利用攻擊,attack,0.8689,different,0.8,隱碼攻擊和漏洞利用攻擊是兩種不同的攻擊手法
tcp 封包攻擊,attack,網路攻擊封包,attack,0.8688,same,0.8,tcp 封包攻擊和網路攻擊封包語意相近，均指涉及網路封包的攻擊行為
dns攻擊,attack,網頁攻擊,attack,0.8722,different,0.8,dns攻擊和網頁攻擊是兩種不同類型的攻擊行為
隱碼攻擊,attack,跨站指令碼攻擊,attack,0.872,different,0.8,隱碼攻擊和跨站指令碼攻擊是兩種不同的攻擊手法
network attack,attack,漏洞利用攻擊,attack,0.8688,different,0.8,節點 A 和節點 B 雖然都屬於攻擊行為，但 network attack 和 漏洞利用攻擊 指稱不同概念
竄改攻擊,attack,病毒攻擊,attack,0.8686,different,0.8,竄改攻擊和病毒攻擊是兩種不同的攻擊行為或手法
搜尋引擎攻擊,attack,病毒攻擊,attack,0.8687,different,0.8,兩節點名稱語意不同，分別指搜尋引擎攻擊和病毒攻擊
竄改,attack,程式碼篡改,attack,0.8681,same,0.8,竄改和程式碼篡改都指涉修改原始內容或程式碼，語意上相近
未經授權的揭露,attack,未經授權之發佈,attack,0.8682,same,0.9,兩節點名稱語意等價，均指未經授權的公開
阻斷服務攻擊 (dos),attack,分散式阻斷服務攻擊 (ddos),attack,0.868,different,0.8,雖然兩者都是阻斷服務攻擊，但dos和ddos是不同類型的攻擊
wannacry勒索病毒,attack,病毒,attack,0.8676,different,0.8,節點 A 指的是特定的一種勒索病毒，節點 B 則是病毒的通稱
阻絕服務攻擊 (dos),attack,阻斷服務攻擊,attack,0.8721,same,0.9,兩節點名稱語意等價，都是指阻絕或阻斷服務的攻擊行為
潛在威脅,attack,網路威脅,attack,0.8682,different,0.8,兩節點名稱語意不同，潛在威脅與網路威脅指稱不同概念
惡意活動,attack,惡意行為,attack,0.8681,same,0.9,惡意活動和惡意行為在攻擊行為或攻擊手法的本體論類別下是同義詞
盜用帳號及密碼,attack,冒用帳號,attack,0.8672,different,0.8,盜用帳號及密碼和冒用帳號雖相關但指稱不同概念
攻擊破解,attack,竄改攻擊,attack,0.8662,different,0.8,攻擊破解和竄改攻擊是相關但不同的攻擊行為
跨站請求偽造,attack,跨站請求偽造攻擊,attack,0.8669,same,0.9,兩節點名稱語意等價，指稱同一概念
跨站腳本攻擊,attack,跨站指令碼攻擊,attack,0.8658,same,0.9,跨站腳本攻擊和跨站指令碼攻擊是同義詞
外部攻擊,attack,xml外部實體攻擊,attack,0.8658,different,0.8,節點 A 和節點 B 雖然都與攻擊行為相關，但指稱不同概念，節點 A 是一般性的外部攻擊，節點 B 是特指 XML 外部實體攻擊
竄改攻擊,attack,注入攻擊,attack,0.8655,different,0.8,竄改攻擊和注入攻擊是兩種不同的攻擊手法
ddos攻擊,attack,物聯網攻擊,attack,0.8702,different,0.8,ddos攻擊和物聯網攻擊是兩種不同類型的攻擊行為
各種攻擊,attack,攻擊方法,attack,0.8672,same,0.9,節點 A 和節點 B 的名稱語意相近，均指涉攻擊行為或攻擊手法
攻擊破解,attack,密碼驗證攻擊,attack,0.8636,different,0.8,攻擊破解和密碼驗證攻擊是相關但不同的攻擊行為
web 攻擊手法,attack,網頁攻擊,attack,0.8641,same,0.9,節點 A 和節點 B 的名稱語意等價，都是指網頁攻擊的行為或手法
潛在威脅,attack,資訊安全威脅,attack,0.8628,different,0.8,兩節點雖相關但指稱不同概念，潛在威脅較為廣泛，資訊安全威脅則是特定領域的威脅
http 封包攻擊,attack,網頁攻擊,attack,0.8627,different,0.8,節點 A 指的是 HTTP 封包攻擊，節點 B 指的是網頁攻擊，雖相關但指稱不同概念
搜尋引擎攻擊,attack,dns攻擊,attack,0.8648,different,0.8,搜尋引擎攻擊和dns攻擊是兩種不同類型的攻擊行為
攻擊破解,attack,暴力密碼攻擊,attack,0.8645,same,0.8,攻擊破解和暴力密碼攻擊都是指嘗試破解密碼的攻擊行為
阻絕服務攻擊,attack,攔截攻擊,attack,0.8674,different,0.8,雖然兩個節點都屬於攻擊行為，但阻絕服務攻擊和攔截攻擊指稱不同概念
木馬程式,attack,木馬後門程式,attack,0.8612,same,0.9,木馬程式和木馬後門程式是同義詞
隱碼攻擊,attack,sql資料隱碼攻擊,attack,0.8619,different,0.8,節點 A 和節點 B 雖然都與攻擊行為相關，但隱碼攻擊是一個更廣泛的概念，而 SQL 資料隱碼攻擊是隱碼攻擊的一種特定形式
外部入侵,attack,外部攻擊,attack,0.861,same,0.9,外部入侵和外部攻擊在攻擊行為或攻擊手法的本體論類別中是同義詞
sql injection 攻擊,attack,注入 (injection) 攻擊,attack,0.8629,same,0.9,節點 A 和節點 B 的名稱語意等價，均指稱注入攻擊
非法存取,attack,未經授權的存取,attack,0.8606,same,0.9,兩節點名稱語意等價，均指未經授權的存取行為
搜尋引擎攻擊,attack,竄改攻擊,attack,0.8617,different,0.8,搜尋引擎攻擊和竄改攻擊是兩種不同類型的攻擊行為
阻絕服務攻擊 (dos),attack,分散式阻斷服務攻擊 (ddos),attack,0.8612,different,0.8,雖然兩者都是阻絕服務攻擊，但dos和ddos是不同類型的攻擊
偽裝攻擊,attack,詐欺攻擊,attack,0.8609,same,0.8,偽裝攻擊和詐欺攻擊在攻擊行為或攻擊手法的本體論類別中具有相似的語意含義
內部威脅,attack,威脅,attack,0.8701,different,0.8,內部威脅和威脅雖相關但指稱不同概念，內部威脅是指組織內部的威脅，威脅則是更廣泛的概念
網路威脅,attack,入侵威脅,attack,0.8622,different,0.8,網路威脅和入侵威脅雖相關但指稱不同概念
udp 封包攻擊,attack,網路攻擊封包,attack,0.8603,different,0.8,udp 封包攻擊和網路攻擊封包雖相關但指稱不同概念
泛洪攻擊,attack,syn洪水攻擊,attack,0.8603,same,0.9,泛洪攻擊和syn洪水攻擊都是網路攻擊的一種形式，指的是大量的syn請求用於耗盡目標系統的資源
密碼驗證攻擊,attack,資料隱碼攻擊,attack,0.8603,different,0.8,密碼驗證攻擊和資料隱碼攻擊是兩種不同的攻擊行為
跨站請求偽造攻擊（csrf）,attack,cross-site request forgery,attack,0.8591,same,1.0,節點 A 和節點 B 分別是跨站請求偽造攻擊的中文和英文名稱，語意等價
事件,attack,惡意事件,attack,0.8593,different,0.8,事件和惡意事件雖相關但指稱不同概念
詐騙,attack,信用卡詐騙,attack,0.8589,different,0.8,節點 A 和節點 B 雖然都是攻擊行為，但詐騙是一個更廣泛的概念，信用卡詐騙是詐騙的一種特定形式
隱私外洩,attack,秘密金鑰洩露,attack,0.8585,different,0.8,兩節點雖相關但指稱不同概念，隱私外洩涵蓋更廣泛的攻擊行為，秘密金鑰洩露則是特定的一種攻擊手法
暴力密碼攻擊,attack,暴力攻擊,attack,0.8604,same,0.9,節點 A 和節點 B 的名稱語意相近，均指涉及暴力手法的攻擊行為
dos/ddos 攻擊,attack,dos攻擊,attack,0.8583,same,0.8,節點 A 和節點 B 都指稱 DOS 攻擊，DDOS 攻擊是 DOS 攻擊的一種特定形式
非法存取,attack,非授權存取,attack,0.858,same,0.9,非法存取和非授權存取在攻擊行為或攻擊手法的本體論類別中是同義詞
拒絕服務 (dos),attack,拒絕服務,attack,0.858,same,1.0,節點 A 和節點 B 的名稱語意等價
偽裝攻擊,attack,偽裝攻擊 (masquerade),attack,0.8582,same,1.0,兩節點名稱語意等價
sql injection 隱碼攻擊,attack,sql資料隱碼攻擊,attack,0.8604,same,0.9,節點A和節點B的名稱語意等價，均指SQL隱碼攻擊
電腦病毒,attack,wannacry勒索病毒,attack,0.8595,different,0.8,節點 A 是電腦病毒的通稱，節點 B 是特定的一種病毒
網路釣魚攻擊,attack,釣魚式攻擊,attack,0.8562,same,0.9,兩節點名稱語意等價，都是指釣魚攻擊的行為
資料竊取,attack,資料洩漏,attack,0.8554,different,0.8,資料竊取和資料洩漏是相關但不同的攻擊行為
ddos攻擊,attack,分散式阻斷服務 (ddos) 攻擊,attack,0.8557,same,1.0,節點 A 和節點 B 的名稱語意等價，都是描述 DDoS 攻擊的不同表達形式
勒索軟體攻擊,attack,應用程式攻擊,attack,0.8565,different,0.8,節點 A 指的是勒索軟體攻擊，節點 B 指的是應用程式攻擊，兩者雖相關但指稱不同概念
外部入侵,attack,駭客入侵,attack,0.8606,same,0.8,外部入侵和駭客入侵都指涉到攻擊行為或攻擊手法，且兩者在攻擊類型上有重疊
攻擊破解,attack,注入攻擊,attack,0.8548,different,0.8,攻擊破解和注入攻擊是兩種不同的攻擊手法
資通安全事件,attack,電腦安全事件,attack,0.8545,same,0.8,兩節點名稱語意相近，皆指涉資安事件
搜尋引擎攻擊,attack,監聽攻擊,attack,0.8546,different,0.9,搜尋引擎攻擊和監聽攻擊是兩種不同類型的攻擊行為
企業機密外洩,attack,秘密金鑰洩露,attack,0.8579,different,0.8,企業機密外洩和秘密金鑰洩露是兩種不同類型的攻擊行為
暴力密碼攻擊,attack,金鑰竊取攻擊,attack,0.8547,different,0.9,兩節點名稱語意不同，指稱不同攻擊行為
釣魚網頁,attack,網路釣魚,attack,0.8545,same,0.9,節點 A 和節點 B 的名稱語意等價，均指涉網路釣魚攻擊行為
內部威脅,attack,外部人員威脅,attack,0.8538,different,0.8,內部威脅和外部人員威脅是兩種不同類型的攻擊行為
密碼驗證攻擊,attack,跨站指令碼攻擊,attack,0.8537,different,0.9,密碼驗證攻擊和跨站指令碼攻擊是兩種不同的攻擊行為
隱碼攻擊,attack,注入攻擊,attack,0.8531,different,0.8,隱碼攻擊和注入攻擊是兩種不同的攻擊手法
入侵,attack,入侵威脅,attack,0.8528,different,0.8,入侵和入侵威脅相關但指稱不同概念
sql injection,attack,sql injection 隱碼攻擊,attack,0.854,different,0.8,節點 A 和節點 B 雖然都與 SQL Injection 相關，但節點 B 的名稱包含了額外的描述『隱碼攻擊』，這可能指的是 SQL Injection 的一種特定變體或攻擊手法
ddos 攻擊,attack,dos攻擊,attack,0.8532,same,0.9,ddos 攻擊和 dos 攻擊是同義詞，均指分佈式拒絕服務攻擊
新的攻擊方式,attack,攻擊方法,attack,0.8524,same,0.9,兩節點名稱語意相近，均指涉攻擊手法或方式
釣魚攻擊（phishing）,attack,網路釣魚攻擊,attack,0.8524,same,0.9,節點 A 和節點 B 的名稱語意等價，都是指釣魚攻擊的行為
憑證填充攻擊,attack,注入攻擊,attack,0.8585,different,0.8,憑證填充攻擊和注入攻擊是兩種不同的攻擊手法
重送攻擊 (replay attack),attack,重送攻擊,attack,0.8526,same,1.0,兩節點名稱語意等價
資料干擾攻擊,attack,ddos攻擊,attack,0.8518,different,0.8,資料干擾攻擊和DDoS攻擊是兩種不同類型的攻擊行為
暴力密碼攻擊,attack,跨站指令碼攻擊,attack,0.852,different,0.9,兩節點名稱語意不同，指稱不同攻擊行為
密碼驗證攻擊,attack,金鑰竊取攻擊,attack,0.8517,different,0.8,密碼驗證攻擊和金鑰竊取攻擊是兩種不同的攻擊行為
監聽攻擊,attack,攻擊事件,attack,0.8515,different,0.8,監聽攻擊是一種特定攻擊行為，攻擊事件是更廣泛的概念
資料竊取,attack,竊取,attack,0.8508,same,0.9,資料竊取和竊取在攻擊行為或攻擊手法的本體論類別下是語意等價的
攻擊行為,attack,合法攻擊,attack,0.8504,different,0.8,攻擊行為和合法攻擊雖相關但指稱不同概念
勒索程式,attack,病毒程式,attack,0.8502,different,0.8,勒索程式和病毒程式是兩種不同類型的攻擊手法
攻擊行為,attack,各種攻擊,attack,0.8508,same,0.8,兩節點名稱語意相近，均指涉攻擊行為或手法
外部入侵,attack,入侵企圖,attack,0.8498,different,0.8,雖然兩節點相關，但外部入侵強調來自外部的攻擊，而入侵企圖則是指嘗試入侵的行為，指稱不同概念
事件,attack,入侵事件,attack,0.8496,different,0.8,入侵事件是攻擊行為的一種特定類型，與一般事件有所不同
基於密碼的攻擊,attack,暴力密碼攻擊,attack,0.854,same,0.8,基於密碼的攻擊和暴力密碼攻擊都是針對密碼的攻擊行為，語意相近
攻擊破解,attack,金鑰竊取攻擊,attack,0.8525,different,0.8,攻擊破解和金鑰竊取攻擊是兩種不同的攻擊行為
各種攻擊,attack,其他攻擊方式,attack,0.8489,different,0.8,節點 A 和節點 B 雖然都屬於攻擊行為或攻擊手法，但指稱的概念不同，節點 A 講的是各種攻擊，節點 B 講的是其他攻擊方式
新的攻擊方式,attack,攻擊手段,attack,0.8488,same,0.8,兩節點名稱語意相近，均指涉攻擊行為或手法
數位攻擊,attack,資料隱碼攻擊,attack,0.8484,different,0.8,數位攻擊和資料隱碼攻擊是相關但不同的攻擊行為
惡意事件,attack,惡意行為,attack,0.8484,same,0.8,惡意事件和惡意行為在攻擊行為或攻擊手法的本體論類別下具有相似的語意含義
資料篡改攻擊,attack,資料竄改,attack,0.8522,same,0.9,資料篡改攻擊和資料竄改是同義詞
非法存取,attack,未授權存取,attack,0.8491,same,0.9,非法存取和未授權存取在攻擊行為或攻擊手法的本體論類別中是同義詞
資料篡改,attack,竄改,attack,0.8488,same,0.9,資料篡改和竄改是同義詞，均指未經授權修改資料的行為
緩衝區溢位攻擊,attack,緩衝區溢位攻擊（buffer overflow）,attack,0.8477,same,1.0,兩節點名稱語意等價
勒索程式,attack,勒索病毒,attack,0.8478,same,0.9,節點 A 和節點 B 的名稱語意相近，均指涉及勒索的惡意程式或病毒
資訊安全威脅,attack,入侵威脅,attack,0.8476,different,0.8,資訊安全威脅和入侵威脅相關但指稱不同概念
詐騙郵件,attack,詐騙,attack,0.8482,different,0.8,詐騙郵件是詐騙的一種特定形式，但不是所有詐騙都是郵件
潛在威脅,attack,網路安全威脅,attack,0.8544,different,0.8,節點 A 和節點 B 雖然都與攻擊行為或攻擊手法相關，但指稱的概念不同，前者強調潛在威脅，後者則著重於網路安全威脅
入侵企圖,attack,入侵威脅,attack,0.8482,same,0.8,入侵企圖和入侵威脅在攻擊行為或攻擊手法的本體論類別下具有相似的語意含義
釣魚攻擊（phishing）,attack,釣魚式攻擊,attack,0.8472,same,0.9,節點 A 和節點 B 的名稱語意等價，都是指釣魚攻擊的行為
外部入侵,attack,入侵行為,attack,0.8467,same,0.8,節點 A 和節點 B 的名稱語意相近，均指涉入侵行為
垃圾郵件,attack,詐騙郵件,attack,0.8467,different,0.8,垃圾郵件和詐騙郵件雖相關但指稱不同概念
篡改,attack,資料竄改,attack,0.8465,same,0.9,篡改和資料竄改是同義詞，均指修改或竄改資料的行為
詐騙,attack,詐欺攻擊,attack,0.8472,same,0.9,詐騙和詐欺攻擊語意相近，指稱相同的攻擊行為
