name_a,type_a,name_b,type_b,similarity,confidence,reason
病毒程式,attack,惡意程式,attack,0.8178,0.9,病毒程式和惡意程式在攻擊行為或攻擊手法的本體論類別下是相關的概念，且惡意程式是病毒程式的廣義稱謂
緩衝區溢位攻擊,attack,緩衝區溢位,attack,0.8167,0.9,節點 A 和節點 B 的名稱語意基本等價，都是指緩衝區溢位的攻擊行為
郵件釣魚攻擊,attack,網路釣魚郵件,attack,0.8165,0.9,節點 A 和節點 B 的名稱語意等價，都是指釣魚攻擊的手法
分散式阻斷服務 (ddos),attack,ddos,attack,0.8163,1.0,節點 A 和節點 B 的名稱語意等價，都是指分散式阻斷服務（DDoS）
堆疊溢位,attack,緩衝區溢位,attack,0.8159,0.9,堆疊溢位和緩衝區溢位是同義詞，指稱相同的攻擊行為或攻擊手法
ddos 攻擊,attack,ddos,attack,0.8157,1.0,ddos 攻擊和 ddos 是同義詞
釣魚攻擊,attack,釣魚攻擊（phishing）,attack,0.8142,1.0,兩節點名稱語意等價
事件,attack,攻擊事件,attack,0.8125,0.9,兩節點名稱語意相近，事件和攻擊事件都指涉攻擊行為
未經授權存取,attack,未授權行為,attack,0.8105,0.9,未經授權存取和未授權行為語意相近，均指未經授權的行為
ddos,attack,分散式阻斷服務攻擊 (ddos),attack,0.8089,1.0,節點 A 和節點 B 的名稱語意等價，都是指分散式阻斷服務攻擊
syn 洪水攻擊,attack,tcp syn flood 攻擊,attack,0.808,0.9,節點 A 和節點 B 都描述了 SYN 洪水攻擊的概念
未經授權的資料存取,attack,未經授權的存取,attack,0.8065,0.9,節點 A 和節點 B 的名稱語意等價，均指未經授權的存取行為
分散式阻斷服務攻擊,attack,分散式阻斷服務 (ddos),attack,0.8061,0.9,兩節點名稱語意等價，分散式阻斷服務攻擊和分散式阻斷服務（DDoS）指稱同一概念
網路釣魚,attack,網路釣魚攻擊,attack,0.8056,0.9,節點 A 和節點 B 的名稱語意等價，都是指網路釣魚的攻擊行為
注入 (injection) 攻擊,attack,sql injection 隱碼攻擊,attack,0.8053,0.9,節點 A 和節點 B 都描述了注入攻擊的概念，節點 B 的名稱是節點 A 的具體實例
入侵事件,attack,攻擊事件,attack,0.8051,0.9,入侵事件和攻擊事件在攻擊行為或攻擊手法的本體論類別下是語意等價的
黑洞攻擊,attack,蟲洞攻擊,attack,0.8044,0.9,黑洞攻擊和蟲洞攻擊是同義詞
tcp syn flood 攻擊,attack,syn洪水攻擊,attack,0.8043,0.9,tcp syn flood 攻擊和 syn 洪水攻擊是同義詞
垃圾郵件,attack,垃圾郵件攻擊,attack,0.801,0.9,兩節點名稱語意相近，垃圾郵件攻擊是垃圾郵件的一種特定形式
資通安全事件,attack,攻擊事件,attack,0.8004,0.9,兩節點名稱語意等價，均指涉資安事件的攻擊行為
安全性漏洞,vulnerability,安全漏洞,vulnerability,0.9913,0.9,節點 A 和節點 B 的名稱語意等價，都是指系統或軟體中的安全弱點
漏洞,vulnerability,安全漏洞,vulnerability,0.9611,0.9,節點 A 和節點 B 的名稱語意等價，均指稱系統或軟體中的安全弱點
不安全的反序列化,vulnerability,不安全的反序列化漏洞,vulnerability,0.9503,0.9,兩節點名稱語意相近，均指涉不安全的反序列化問題
安全性漏洞,vulnerability,漏洞,vulnerability,0.9461,0.9,節點 A 和節點 B 的名稱語意等價，都是指系統或軟體中的安全弱點
程式漏洞,vulnerability,漏洞,vulnerability,0.9364,0.9,程式漏洞和漏洞是同義詞，均指系統或軟體中的安全弱點
個人隱私洩漏,vulnerability,洩漏個人資訊,vulnerability,0.9355,0.9,兩節點名稱語意等價，均指涉及個人隱私信息的洩漏
程式漏洞,vulnerability,軟體漏洞,vulnerability,0.9337,0.9,程式漏洞和軟體漏洞是同義詞
程式漏洞,vulnerability,安全漏洞,vulnerability,0.9217,0.9,程式漏洞和安全漏洞是同義詞，均指系統或軟體中的安全弱點
軟體漏洞,vulnerability,安全漏洞,vulnerability,0.9207,0.9,軟體漏洞和安全漏洞是同義詞，均指系統或軟體中的安全弱點
vulnerability,vulnerability,脆弱性,vulnerability,0.9118,1.0,節點 A 和節點 B 的名稱語意等價，都是指系統或軟體中的安全弱點
資訊洩漏弱點,vulnerability,資訊洩露漏洞,vulnerability,0.9103,0.9,兩節點名稱語意等價，均指資訊安全中的洩漏弱點
程式漏洞,vulnerability,安全性漏洞,vulnerability,0.909,0.9,程式漏洞和安全性漏洞是同義詞，均指系統或軟體中的安全弱點
安全性漏洞,vulnerability,軟體漏洞,vulnerability,0.908,0.9,節點 A 和節點 B 的名稱語意等價，均指系統或軟體中的安全弱點
脆弱性,vulnerability,脆弱點,vulnerability,0.903,0.9,兩節點名稱語意等價，均指系統或軟體中的安全弱點
系統漏洞,vulnerability,漏洞,vulnerability,0.902,0.9,系統漏洞和漏洞是同義詞
系統漏洞,vulnerability,安全漏洞,vulnerability,0.8884,0.9,系統漏洞和安全漏洞是同義詞
系統漏洞,vulnerability,安全性漏洞,vulnerability,0.8838,0.9,系統漏洞和安全性漏洞是同義詞
安全隱患,vulnerability,安全性問題,vulnerability,0.8821,0.9,安全隱患和安全性問題在本體論類別vulnerability下是同義詞
程式漏洞,vulnerability,原始碼漏洞,vulnerability,0.8816,0.9,程式漏洞和原始碼漏洞都是指系統或軟體中的安全弱點，且兩者名稱語意相近
資料外洩漏洞,vulnerability,資訊洩露漏洞,vulnerability,0.8799,0.9,資料外洩漏洞和資訊洩露漏洞是同義詞
安全隱患,vulnerability,安全性漏洞,vulnerability,0.8797,0.9,節點 A 和節點 B 的名稱語意等價，均指系統或軟體中的安全弱點
敏感資料洩漏,vulnerability,資訊洩露漏洞,vulnerability,0.8761,0.9,節點 A 和節點 B 的名稱語意相近，均指涉及資訊或資料的安全弱點
系統弱點,vulnerability,弱點,vulnerability,0.8737,0.9,系統弱點和弱點是同義詞
未做好輸入查驗 (input validation),vulnerability,未做好輸入查驗,vulnerability,0.873,1.0,兩節點名稱語意完全相同
安全設定錯誤,vulnerability,錯誤設定,vulnerability,0.8721,0.9,節點 A 和節點 B 的名稱語意相近，均指涉安全設定的錯誤
錯誤設定,vulnerability,系統設定錯誤,vulnerability,0.8678,0.9,節點 A 和節點 B 的名稱語意等價，均指系統設定中的錯誤
安全隱患,vulnerability,安全性弱點,vulnerability,0.863,0.9,節點 A 和節點 B 的名稱語意等價，都是指系統或軟體中的安全弱點
資料外洩漏洞,vulnerability,敏感資料洩漏,vulnerability,0.8561,0.9,資料外洩漏洞和敏感資料洩漏是同義詞
vulnerability,vulnerability,脆弱點,vulnerability,0.8504,1.0,節點 A 和節點 B 的名稱語意等價，都是指系統或軟體中的安全弱點
系統漏洞,vulnerability,系統弱點,vulnerability,0.8493,0.9,系統漏洞和系統弱點是同義詞
程式語言本身的漏洞,vulnerability,原始碼漏洞,vulnerability,0.8487,0.9,程式語言本身的漏洞和原始碼漏洞都是指系統或軟體中的安全弱點，兩者語意相近
洩漏個人資訊,vulnerability,資訊洩露漏洞,vulnerability,0.8468,0.9,兩節點名稱語意等價，均指涉資訊洩露的安全弱點
脆弱點,vulnerability,弱點,vulnerability,0.8467,0.9,兩節點名稱語意等價，均指系統或軟體中的安全弱點
資訊資產脆弱點,vulnerability,脆弱性,vulnerability,0.8466,0.9,兩節點名稱語意等價，均指系統或軟體中的安全弱點
資訊資產脆弱點,vulnerability,脆弱點,vulnerability,0.8367,0.9,兩節點名稱語意等價，均指稱系統或軟體中的安全弱點
存取控制失效,vulnerability,存取控制不足,vulnerability,0.8365,0.9,存取控制失效和存取控制不足是同義詞
安全性弱點,vulnerability,弱點,vulnerability,0.8333,0.9,節點 A 和節點 B 的名稱語意等價，都是指系統或軟體中的安全弱點
xss 缺陷,vulnerability,xss,vulnerability,0.8311,0.9,兩節點名稱語意等價，均指稱XSS安全弱點
資訊洩漏弱點,vulnerability,敏感資料洩漏,vulnerability,0.8292,0.9,兩節點名稱語意等價，均指涉及敏感資訊的洩漏
脆弱性,vulnerability,弱點,vulnerability,0.826,0.9,兩節點名稱語意等價，均指系統或軟體中的安全弱點
系統弱點,vulnerability,安全性弱點,vulnerability,0.8242,0.9,系統弱點和安全性弱點是同義詞
系統弱點,vulnerability,脆弱點,vulnerability,0.8125,0.9,系統弱點和脆弱點是同義詞
安全防護缺失,vulnerability,安全性弱點,vulnerability,0.8118,0.9,節點 A 和節點 B 的名稱語意等價，均指稱系統或軟體中的安全弱點
脆弱性,vulnerability,系統弱點,vulnerability,0.8112,0.9,兩節點名稱語意等價，均指系統或軟體中的安全弱點
脆弱性,vulnerability,安全性弱點,vulnerability,0.8096,0.9,兩節點名稱語意等價，均指系統或軟體中的安全弱點
存取控制失效,vulnerability,不當的存取控制,vulnerability,0.8075,0.9,兩節點名稱語意等價，均指存取控制的安全弱點
不當的存取控制,vulnerability,存取控制不足,vulnerability,0.8033,0.9,兩節點名稱語意相近，均指存取控制的不足
vulnerability,vulnerability,安全性弱點,vulnerability,0.8028,1.0,節點 A 和節點 B 的名稱語意等價，都是指系統或軟體中的安全弱點
vulnerability,vulnerability,資訊資產脆弱點,vulnerability,0.8023,0.9,節點 A 和節點 B 的名稱語意等價，都是指系統或軟體中的安全弱點
資料外洩漏洞,vulnerability,資訊洩漏弱點,vulnerability,0.8013,0.9,資料外洩漏洞和資訊洩漏弱點是同義詞
風險評估,technique,風險評鑑,technique,0.9699,0.9,風險評估和風險評鑑是同義詞
多因素身分驗證,technique,多因素身份驗證,technique,0.9694,1.0,節點 A 和節點 B 的名稱語意等價，都是指多因素驗證的概念
雙因素認證,technique,雙因子認證,technique,0.9686,0.9,雙因素認證和雙因子認證是同義詞
完整備份,technique,完全備份,technique,0.9684,1.0,完整備份和完全備份是同義詞
2fa 驗證,technique,2fa 認證,technique,0.9677,0.9,2fa 驗證和 2fa 認證是同義詞
基於行為的安全方法,technique,基於行為的安全,technique,0.9624,0.9,節點 A 和節點 B 的名稱語意相近，均描述基於行為的安全方法
資產分類分級,technique,資產分類與分級,technique,0.9616,0.9,節點名稱語意等價
原碼掃描,technique,原始碼掃描,technique,0.9611,0.9,原碼掃描和原始碼掃描是同義詞
強制存取控制 (mac),technique,強制型存取控制 (mac),technique,0.9591,0.9,兩節點名稱語意等價，都是描述強制存取控制的技術方法
公開金鑰密碼演算法,technique,公開金鑰加密演算法,technique,0.9571,0.9,公開金鑰密碼演算法和公開金鑰加密演算法是同義詞
多因子認證,technique,多因素驗證,technique,0.9462,0.9,多因子認證和多因素驗證是同義詞
風險識別,technique,風險辨識,technique,0.9411,0.9,風險識別和風險辨識是同義詞
程式原碼檢測,technique,程式碼檢測,technique,0.9399,0.9,程式原碼檢測和程式碼檢測是同義詞
軟體系統更新,technique,軟體更新,technique,0.9363,0.9,軟體系統更新和軟體更新是語意等價的表達
技術型存取控制,technique,存取控制技術,technique,0.9346,0.9,兩節點名稱語意等價，都是描述存取控制的技術方法
源碼檢測,technique,源碼掃描,technique,0.9271,0.9,源碼檢測和源碼掃描是同義詞
程式原碼檢測,technique,原始碼檢測,technique,0.9236,0.9,程式原碼檢測和原始碼檢測是同義詞
程式碼簽署 (code signing),technique,code signing,technique,0.9212,1.0,節點 A 和節點 B 的名稱語意等價
資料庫安全稽核,technique,資料庫稽核,technique,0.9194,0.9,節點 A 和節點 B 的名稱語意相近，資料庫安全稽核和資料庫稽核可以視為同義詞
google hacking,technique,google 駭客 (google-hacking),technique,0.9186,0.9,節點 A 和節點 B 的名稱語意等價，都是指利用 Google 搜索引擎進行駭客攻擊的技術
plan,technique,計畫,technique,0.9184,0.9,plan 和 計畫 是同義詞
程式碼掃描,technique,原碼掃描,technique,0.9177,0.9,程式碼掃描和原碼掃描是同義詞
源碼掃描,technique,原始碼掃描,technique,0.917,0.9,源碼掃描和原始碼掃描是同義詞
源碼掃描,technique,原碼掃描,technique,0.9151,0.9,源碼掃描和原碼掃描是同義詞
數位簽章驗證程序,technique,數位簽章驗證,technique,0.9145,0.9,節點名稱語意相近，數位簽章驗證程序和數位簽章驗證指稱同一概念
程式原碼檢測,technique,原碼掃描,technique,0.91,0.9,程式原碼檢測和原碼掃描是同義詞，指稱相同的技術方法或手段
check,technique,檢查,technique,0.9099,0.9,節點 A 和節點 B 的名稱語意等價，都是指檢查的意思
資訊資產分級,technique,資產分類分級,technique,0.9098,0.9,節點名稱語意相近，資訊資產分級和資產分類分級都指涉資產的分級評估
原始碼檢測,technique,原始碼掃描,technique,0.9095,0.9,原始碼檢測和原始碼掃描是同義詞
終端輸入驗證與過濾,technique,端點輸入驗證與過濾,technique,0.9077,0.9,節點名稱語意等價，僅詞彙稍有不同
單元測試,technique,單元測試 (unit test),technique,0.9024,1.0,兩節點名稱語意等價，節點B為節點A的英文標準化形式
原始碼檢測,technique,原碼掃描,technique,0.9011,0.9,原始碼檢測和原碼掃描是同義詞
程式碼掃描,technique,程式碼檢測,technique,0.9,0.9,程式碼掃描和程式碼檢測是同義詞
源碼檢測,technique,原始碼檢測,technique,0.8955,0.9,源碼檢測和原始碼檢測是同義詞
入侵偵測,technique,入侵偵測技術,technique,0.8944,0.9,入侵偵測和入侵偵測技術在本體論類別technique下為同義詞
check,technique,檢查 (check),technique,0.8939,1.0,節點 A 和節點 B 的名稱語意等價，都是指檢查的意思
功能測試,technique,功能測試 (function test),technique,0.8928,1.0,兩節點名稱語意等價
去識別化,technique,去識別化處理,technique,0.8862,0.9,兩節點名稱語意等價，去識別化和去識別化處理指稱同一概念
程式碼掃描,technique,原始碼掃描,technique,0.885,0.9,程式碼掃描和原始碼掃描是同義詞
程式原碼檢測,technique,程式碼掃描,technique,0.882,0.9,程式原碼檢測和程式碼掃描是同義詞
密碼技術,technique,加解密技術,technique,0.8799,0.9,密碼技術和加解密技術是密碼學中相關的概念，密碼技術涵蓋了加解密技術
plan,technique,計畫 (plan),technique,0.8774,1.0,節點 A 和節點 B 的名稱語意等價
行動,technique,行動 (action),technique,0.8755,1.0,兩節點名稱語意等價
網路弱點掃描,technique,弱點掃描,technique,0.8747,0.9,節點 A 和節點 B 的名稱語意相近，網路弱點掃描是弱點掃描的一種特定形式
資訊資產分級,technique,資產分類與分級,technique,0.8738,0.9,節點 A 和節點 B 的名稱語意相近，均涉及資產的分級和分類
縱深防禦,technique,縱深防禦 (defense in depth),technique,0.8723,1.0,兩節點名稱語意等價，節點 B 提供的英文名稱是節點 A 的標準化形式
漏洞掃描,technique,網路弱點掃描,technique,0.8711,0.9,漏洞掃描和網路弱點掃描是同義詞
資料分析,technique,資料分析技術,technique,0.8698,0.9,節點名稱語意相近，資料分析和資料分析技術指稱同一概念
多因素驗證,technique,多因素身份驗證,technique,0.8691,0.9,多因素驗證和多因素身份驗證是同義詞
稽核,technique,稽核活動,technique,0.8661,0.9,稽核和稽核活動是同義詞
原始碼分析,technique,程式原碼檢測,technique,0.8647,0.9,節點 A 和節點 B 的名稱語意相近，均指涉及程式碼的分析或檢測
原始碼檢測,technique,程式碼檢測,technique,0.8627,0.9,節點 A 和節點 B 的名稱語意等價，都是指檢測程式碼的技術方法
pdca循環,technique,pdca,technique,0.8602,0.9,pdca循環和pdca是同義詞，指稱同一個概念
資料探勘技術,technique,資料探勘,technique,0.8591,0.9,節點 A 和節點 B 的名稱語意相近，資料探勘技術是資料探勘的具體方法或手段
源碼掃描,technique,程式碼掃描,technique,0.859,0.9,源碼掃描和程式碼掃描是同義詞
penetration testing,technique,滲透測試,technique,0.8589,1.0,滲透測試是penetration testing的中文翻譯
時間同步,technique,同步時脈 (clock synchronization),technique,0.8581,0.9,時間同步和同步時脈是同義詞，指的是保持多個時鐘或系統之間的時間一致性
多因素身分驗證,technique,多因素驗證,technique,0.8574,0.9,多因素身分驗證和多因素驗證是同義詞
資產盤點,technique,資產清單,technique,0.8572,0.9,資產盤點和資產清單是同義詞，均指進行資產的清查和記錄
漏洞掃描,technique,弱點掃描,technique,0.8569,0.9,漏洞掃描和弱點掃描是同義詞
多因子認證,technique,多因素身份驗證,technique,0.8567,0.9,多因子認證和多因素身份驗證是同義詞
計畫,technique,計畫 (plan),technique,0.8558,1.0,兩節點名稱語意等價
安全程式開發,technique,安全性軟體開發流程,technique,0.8548,0.9,節點 A 和節點 B 的名稱語意相近，均指涉及安全的軟體開發方法
程式原碼檢測,technique,原始碼掃描,technique,0.8542,0.9,程式原碼檢測和原始碼掃描是同義詞
原始碼分析,technique,原碼掃描,technique,0.8541,0.9,原始碼分析和原碼掃描是同義詞
程式原碼檢測,technique,源碼檢測,technique,0.8538,0.9,程式原碼檢測和源碼檢測是同義詞
threat modeling,technique,威脅建模,technique,0.8527,0.9,節點 A 和節點 B 的名稱語意等價，都是指稱威脅建模的技術方法
密碼加鹽,technique,加鹽,technique,0.8521,0.9,密碼加鹽和加鹽在密碼學中是相關的概念，且密碼加鹽可以被視為加鹽的具體應用
檢查,technique,檢查 (check),technique,0.8513,1.0,兩節點名稱語意等價
輸入查驗,technique,輸入值的驗證,technique,0.8508,0.9,輸入查驗和輸入值的驗證是同義詞
漏洞掃描,technique,應用程式弱點掃描,technique,0.8506,0.9,漏洞掃描和應用程式弱點掃描是同義詞，指的是用於發現系統或應用程式中安全漏洞的技術方法
風險評估,technique,資訊安全風險評鑑,technique,0.8485,0.9,風險評估和資訊安全風險評鑑是同義詞
對稱加密,technique,對稱金鑰演算法,technique,0.848,0.9,對稱加密和對稱金鑰演算法是同義詞
輸入條件檢查,technique,輸入查驗,technique,0.8472,0.9,輸入條件檢查和輸入查驗是同義詞
源碼掃描,technique,原始碼檢測,technique,0.8471,0.9,源碼掃描和原始碼檢測是同義詞
社會工程學,technique,社交工程,technique,0.8469,0.9,社會工程學和社交工程是同義詞
風險評估,technique,詳細風險評鑑,technique,0.843,0.9,風險評估和詳細風險評鑑是同義詞
緊急應變處置,technique,緊急處理程序,technique,0.8422,0.9,兩節點名稱語意相近，均指涉及應對緊急情況的處置或程序
多因素身分驗證,technique,多因子認證,technique,0.842,0.9,多因素身分驗證和多因子認證是同義詞
源碼檢測,technique,原碼掃描,technique,0.8407,0.9,源碼檢測和原碼掃描是同義詞
存取控制方法,technique,資料存取控制,technique,0.8405,0.9,存取控制方法和資料存取控制是同義詞
漏洞掃描,technique,漏洞測試,technique,0.8356,0.9,漏洞掃描和漏洞測試是同義詞，指稱相同的技術方法或手段
管理型存取控制,technique,存取控制技術,technique,0.8355,0.9,兩節點名稱語意相近，均指涉存取控制的技術方法
原碼掃描,technique,程式碼檢測,technique,0.8348,0.9,原碼掃描和程式碼檢測是同義詞
雙向認證程序,technique,雙重認證,technique,0.8343,0.9,雙向認證程序和雙重認證是同義詞
源碼檢測,technique,原始碼掃描,technique,0.8337,0.9,源碼檢測和原始碼掃描是同義詞
存取控制方法,technique,存取控制技術,technique,0.8281,0.9,存取控制方法和存取控制技術是同義詞
輸入驗證方法,technique,輸入查驗,technique,0.8278,0.9,輸入驗證方法和輸入查驗是同義詞
任意型存取控制,technique,資料存取控制,technique,0.8276,0.9,節點 A 和節點 B 的名稱語意相近，均指涉及存取控制的技術方法
程式碼掃描,technique,原始碼檢測,technique,0.8268,0.9,程式碼掃描和原始碼檢測是同義詞
強制型存取控制,technique,強制型存取控制 (mac),technique,0.8264,0.9,兩節點名稱語意等價，強制型存取控制和強制型存取控制 (mac) 指稱相同的概念
雙因素認證,technique,雙重認證,technique,0.826,0.9,雙因素認證和雙重認證是同義詞
程式原碼檢測,technique,源碼掃描,technique,0.8236,0.9,程式原碼檢測和源碼掃描是同義詞
凱薩演算法,technique,柵欄演算法,technique,0.8219,1.0,凱薩演算法和柵欄演算法是同義詞
雙重認證,technique,雙因子認證,technique,0.8218,0.9,雙重認證和雙因子認證是同義詞
實體型存取控制,technique,資料存取控制,technique,0.8203,0.9,節點 A 和節點 B 的名稱語意相近，均指涉及控制存取的技術方法
雙因素認證,technique,多因子認證,technique,0.8202,0.9,雙因素認證和多因子認證是同義詞，都是指使用多種因素進行身份驗證的技術方法
執行階段,technique,實作階段,technique,0.8193,0.9,執行階段和實作階段是同義詞
猜測密碼,technique,密碼破解,technique,0.8189,0.9,猜測密碼和密碼破解是密碼攻擊的同義詞
實體型存取控制,technique,存取控制技術,technique,0.8177,0.9,兩節點名稱語意等價，存取控制技術是實體型存取控制的標準化形式
資料分級,technique,資訊資產分級,technique,0.817,0.9,資料分級和資訊資產分級是同義詞，均指將資訊或資料按照重要性或敏感度進行分類和評級
任意型存取控制,technique,存取控制技術,technique,0.8167,0.9,節點名稱語意相近，存取控制技術是任意型存取控制的一種標準化形式
軟體系統更新,technique,安全更新,technique,0.8162,0.9,軟體系統更新和安全更新在本體論類別technique下具有語意等價性
多因子認證,technique,多重要素驗證,technique,0.816,0.9,多因子認證和多重要素驗證是同義詞
因子認證,technique,多因素驗證,technique,0.8146,0.9,因子認證和多因素驗證是同義詞，都是指使用多個因子來驗證用戶身份的技術方法
多因素驗證,technique,多重要素驗證,technique,0.8144,0.9,多因素驗證和多重要素驗證是同義詞
原始碼分析,technique,程式碼掃描,technique,0.8137,0.9,原始碼分析和程式碼掃描是同義詞
輸入驗證方法,technique,輸入值的驗證,technique,0.8117,0.9,兩節點名稱語意等價，都是描述驗證輸入的方法
source code review,technique,程式碼檢測,technique,0.8099,0.9,source code review 和 程式碼檢測 是同義詞
check,technique,驗證,technique,0.8093,0.9,check 和 驗證 是同義詞
資料存取控制,technique,存取控制技術,technique,0.8082,0.9,兩節點名稱語意等價，都是描述存取控制的技術方法
加解密演算法,technique,加解密技術,technique,0.8071,0.9,節點 A 和節點 B 的名稱語意相近，均指涉加解密的技術方法
penetration testing,technique,漏洞測試,technique,0.8053,0.9,penetration testing 和 漏洞測試 是同義詞
營運衝擊分析,technique,營運衝擊分析 (bia),technique,0.8052,1.0,兩節點名稱語意等價
雙因素認證,technique,多因素驗證,technique,0.8044,0.9,雙因素認證和多因素驗證都是用於驗證用戶身份的技術方法，雖然名稱不同，但其實質是相同的安全技術手段
輸入條件檢查,technique,輸入值的驗證,technique,0.8027,0.9,輸入條件檢查和輸入值的驗證是同義詞
act,technique,行動,technique,0.8017,0.9,act 和 行動 是語意等價的同義詞
源碼檢測,technique,程式碼檢測,technique,0.8015,0.9,源碼檢測和程式碼檢測是同義詞
鑑識追蹤,technique,追蹤技術,technique,0.8007,0.9,鑑識追蹤和追蹤技術在技術方法或手段的語意上相當接近
國際移動用戶識別碼(imsi),data,國際移動用戶識別碼 (imsi),data,0.9963,1.0,兩節點名稱完全相同
帳號及密碼,data,帳號與密碼,data,0.995,0.9,兩節點名稱語意等價，都是指帳號和密碼的組合
系統紀錄,data,系統記錄,data,0.9886,1.0,系統紀錄和系統記錄是同義詞
操作紀錄,data,操作記錄,data,0.9818,0.9,操作紀錄和操作記錄是同義詞
資料傳輸,data,傳輸資料,data,0.9803,0.9,資料傳輸和傳輸資料是語意等價的表達
敏感檔案,data,敏感文件,data,0.9776,0.9,節點 A 和節點 B 的名稱語意等價，均指稱機密或保密的檔案或文件
檔案,data,文件檔案,data,0.9759,0.9,檔案和文件檔案在此語境下是同義詞
文件,data,檔案,data,0.9739,0.9,文件和檔案在資訊或資料的本體論類別中是同義詞
機密性資料,data,機密資料,data,0.9738,0.9,機密性資料和機密資料在語意上相當接近，差異主要在於『性』的修飾，可能是同義詞或標準化形式
網際網路封包,data,網路封包,data,0.9716,0.9,網際網路封包和網路封包在此語境下是同義詞
文件,data,文件檔案,data,0.9697,0.9,文件和文件檔案在此語境下為同義詞
帳號及密碼,data,帳號/密碼,data,0.9693,0.9,節點 A 和節點 B 的名稱語意等價，都是指帳號和密碼的組合
帳號/密碼,data,帳號與密碼,data,0.969,0.9,帳號/密碼和帳號與密碼語意等價
密碼檔,data,密碼檔案,data,0.9684,0.9,節點 A 和節點 B 的名稱語意等價，都是指密碼相關的檔案
機密檔案,data,機密文件,data,0.9668,0.9,機密檔案和機密文件是同義詞
敏感性資料,data,敏感資料,data,0.9652,0.9,節點 A 和節點 B 的名稱語意等價，都是指涉及敏感信息的資料
個人資料,data,個人資訊,data,0.9644,0.9,個人資料和個人資訊是同義詞
個人基本資料,data,個人資料,data,0.963,0.9,個人基本資料和個人資料是同義詞
敏感性資訊,data,敏感資訊,data,0.9613,0.9,兩節點名稱語意等價
用戶資料,data,使用者資料,data,0.9585,0.9,用戶資料和使用者資料是同義詞
操作紀錄,data,操作行為記錄,data,0.9576,0.9,操作紀錄和操作行為記錄是同義詞
操作記錄,data,操作行為記錄,data,0.955,0.9,操作記錄和操作行為記錄在語意上相近，且行為記錄可以視為記錄的標準化形式
敏感資訊,data,敏感資料,data,0.9479,0.9,節點 A 和節點 B 的名稱語意等價，都是指敏感的資訊或資料
.bash_history,data,~/.bash_history,data,0.944,0.9,節點 A 和節點 B 都指向使用者 bash 的命令歷史記錄檔
個人基本資料,data,個人資訊,data,0.9434,0.9,個人基本資料和個人資訊是同義詞
日誌,data,日誌記錄,data,0.9431,0.9,日誌和日誌記錄在資訊或資料的本體論類別中是同義詞
系統紀錄,data,系統紀錄資料,data,0.942,0.9,系統紀錄和系統紀錄資料在語意上相近，且都指涉系統中儲存的資料
機密資料,data,密文資料,data,0.9394,0.9,機密資料和密文資料都是指需要保密的資訊或資料
認證資訊,data,驗證資訊,data,0.9381,0.9,認證資訊和驗證資訊在資訊安全領域中常被視為同義詞
流量,data,網路流量,data,0.9374,0.9,節點 A 和節點 B 的名稱語意相近，均指涉網路流量
人事資料,data,員工資料,data,0.9298,0.9,人事資料和員工資料是同義詞
客戶資料庫,data,客戶資料,data,0.9293,0.9,節點 A 和節點 B 的名稱語意相近，均指涉客戶的資料
敏感個人資料,data,敏感資訊,data,0.9292,0.9,節點 A 和節點 B 的名稱語意相近，均指涉及個人隱私的敏感資訊
帳號密碼,data,帳號及密碼,data,0.9276,0.9,帳號密碼和帳號及密碼語意等價
帳號密碼,data,帳號與密碼,data,0.9276,0.9,帳號密碼和帳號與密碼語意等價
文件化資訊,data,資訊檔案,data,0.9264,0.9,文件化資訊和資訊檔案是同義詞
cookie資訊,data,cookie 資訊,data,0.9252,1.0,兩節點名稱語意完全相同
備份,data,備份資料,data,0.9249,0.9,兩節點名稱語意等價，備份和備份資料指稱同一個概念
系統紀錄資料,data,系統記錄,data,0.9249,0.9,系統紀錄資料和系統記錄語意相近，指稱相同概念
交易記錄,data,交易歷史紀錄,data,0.9238,0.9,節點 A 和節點 B 的名稱語意等價，都是指交易的歷史記錄
電腦檔案,data,檔案,data,0.9224,0.9,電腦檔案和檔案在此語境下是同義詞
機敏性資料,data,機敏資料,data,0.9221,0.9,機敏性資料和機敏資料是同義詞
機密文件,data,敏感文件,data,0.9204,0.9,機密文件和敏感文件是同義詞
帳號密碼,data,帳號/密碼,data,0.919,0.9,帳號密碼和帳號/密碼語意等價
敏感性資訊,data,敏感性資料,data,0.9182,0.9,節點 A 和節點 B 的名稱語意等價，都是指敏感的資訊或資料
用戶資訊,data,用戶資料,data,0.9181,0.9,用戶資訊和用戶資料是同義詞
敏感性資訊,data,敏感資料,data,0.917,0.9,節點 A 和節點 B 的名稱語意等價，都是指敏感的資訊或資料
個人重要資訊,data,個人資訊,data,0.9158,0.9,個人重要資訊和個人資訊在語意上相近，且都指涉個人相關的資訊
系統記錄檔,data,系統記錄,data,0.9136,0.9,系統記錄檔和系統記錄語意相近，檔可視為記錄的具體形式
應用程式記錄檔,data,應用程式日誌檔,data,0.9131,0.9,應用程式記錄檔和應用程式日誌檔是同義詞
應用程式日誌,data,應用程式日誌檔,data,0.9123,0.9,兩節點名稱語意相近，日誌和日誌檔指稱同一概念
機密性資料,data,敏感資料,data,0.9106,0.9,機密性資料和敏感資料在資訊安全領域中常被視為同義詞
日誌,data,日誌檔,data,0.9105,0.9,日誌和日誌檔是同義詞
